gw_mac_address,mobile_phones_count,computer_count,tablet_count,other_count,smarthome_count,wearables_count,gaming_count,tv_&_audio_count,printer_&_scanners_count,network_count,home_network_type,traffic_tx_bucket,traffic_rx_bucket,pod_count,speed_tier_bucket,interference_24G_bucket,interference_5G_bucket,dls_score_bucket,WEM_bucket,RSSI_bucket_24G,RSSI_bucket_5G,has_pod
98d2dc8fa082ac832d6c341531f4f84a63fabd9d96510f235873eee0eefe2152,0,0,0,1,0,0,0,0,0,0,Pod_Home,1,1,1,2,1,0,5,5,1,0,1
20763e4fa0839e5b4d6172be0cb974b896b7cfff9874304372ca33f7fcdb665d,2,3,1,14,0,0,0,3,1,0,Pod_Home,2,3,1,1,1,1,0,3,1,1,1
51452b9bb13e5bd00e44baaf8850194bc2a5ea79382d3a2d51e8d4f45ffb1474,2,0,1,11,4,0,0,1,1,0,Gateway_Only,3,3,1,1,1,2,0,3,2,1,1
b40d4a53936da79d89c2d4cd481097b631e2284031aaacd37c41c62c918ff796,1,1,0,2,0,0,0,1,1,0,Pod_Home,1,1,1,1,1,1,0,4,1,1,1
6bade1d9f4b44491c1e5444b6d6251e0b885bdd3219727edc230cd77a14ff22d,7,5,0,4,1,0,0,0,1,0,Pod_Home,2,5,1,1,1,2,0,2,1,1,1
893c9a9540c0f9d66b5d2cf7dd26f0ececd3a5399f974b23586da5698cec587b,1,0,0,7,2,0,0,1,1,0,Pod_Home,1,5,1,1,1,1,0,3,1,1,1
0f02f7ac4dc20a1f94e39ce5d77ef3061de323decd67d96085635b175b6a406f,4,0,2,4,4,1,0,0,0,0,Pod_Home,2,3,1,2,1,1,5,3,2,1,1
b63955811235106f2c8d78930891fd49ffd151df109c690083301192e753e16c,4,1,1,10,0,0,0,0,1,0,Pod_Home,3,3,1,3,1,1,5,3,1,1,1
71bdc1149ffef5ee87ea43344ffd241b503bf14dab740fb153724b51f8a0468d,1,0,0,6,0,0,0,2,0,0,Pod_Home,3,5,1,3,1,1,5,3,1,1,1
d6dfc8aea6489e0df7f4c20721baebe9742d76e1f6f82002b2548de522b2c005,3,2,0,6,1,0,0,0,0,0,Pod_Home,3,4,1,1,1,2,0,3,1,1,1
fb6395ffa14c2df39eb1ddcf17146004fee25cafe0ecbe1054eae1272f2bc26f,2,0,0,6,2,0,0,1,0,0,Pod_Home,3,1,1,5,1,1,5,2,1,1,1
bfead9ba13e4da1e0ac467f902bf73c38d056058b4a530e099b281103e95ec84,2,0,0,4,1,1,0,1,0,0,Pod_Home,2,2,1,1,1,1,0,4,1,1,1
466a111c053bc21f553a458be6a9d0e88fe0c79f5f3bdda69746b3a9d148c84a,2,2,2,0,2,0,0,0,0,0,Gateway_Only,3,5,1,1,1,2,0,3,2,1,1
eb3132f9f40234623fd5e57edea2a25fe86afc2784356b7aa8fec61429a3de8c,3,2,0,8,0,0,1,0,1,0,Gateway_Only,1,1,1,1,1,1,0,3,2,1,1
b1b5385bb50c09bb3c3e6629f8d50c01ef01c05651967a83d54107bc047203ff,2,1,0,1,0,0,0,0,0,0,Pod_Home,5,4,1,1,1,2,0,2,1,1,1
c66a415ee7f1ac85b65606a6c157de164eedaea34aa7057757e548121afbadd2,0,1,1,8,0,0,0,1,0,0,Pod_Home,4,2,1,2,1,1,5,3,1,1,1
19b81e995c9f794a5bce2e554c0fceda37f4e487a654cb7da690637a6fc5ed20,1,1,2,4,0,0,0,0,1,0,Gateway_Only,1,2,1,1,1,1,0,5,3,1,1
a0dfa73d3838c74c427154d489921e7d7e43071ae2952b5d67218450e0bd0dce,1,0,0,1,0,0,0,0,0,0,Pod_Home,4,4,1,1,1,1,0,3,1,1,1
e5410b8d4cde3d431bafda1c93d68b5eb79e1848a83ab2967876365741bc5d63,1,1,1,4,2,0,0,1,0,0,Gateway_Only,1,1,1,5,1,1,5,3,1,1,1
56bbb2d9c6bf92b54f9171a2876da8cf85afbf9394b771b7aafabdc09fa05115,4,2,2,4,0,1,0,1,0,0,Gateway_Only,2,1,1,5,1,1,5,3,1,1,1
8e87573d18ed6b5e4b1d4adda15a287ca44f5881b57abef54ea3dae5a73209c9,2,4,0,2,0,0,0,1,0,0,Pod_Home,4,5,1,3,1,1,5,3,1,1,1
97d07f2cf252caf7dc7abb37faacaadd4e1509767f136cfd94100eff9deb90de,3,0,2,1,0,0,0,0,1,0,Pod_Home,1,1,1,1,1,1,0,4,2,1,1
e726d2522d19ec7f6c181e341f86fd6acb75db19104bc41b835129c2d5597b6b,1,0,0,12,2,0,0,1,0,0,Gateway_Only,5,2,1,1,1,1,0,3,1,1,1
bc4c93763e7304d9ad017d949ad6de88bdb1d74a99a3f93374d3a04fe4b06435,4,1,1,9,1,0,0,0,0,0,Pod_Home,5,3,1,1,1,2,0,3,1,1,1
d1d826ce05cee038c808b57dde264387cd71632ebeea7317d41e4605b8145654,10,2,0,6,0,0,0,0,0,0,Gateway_Only,3,4,1,2,1,5,5,3,1,1,1
